Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BackS004176,-2.9046,26.5434,3.768e-19,3.634e-19,2.432e-19,0.0,-161.07,0
BackS004179,-2.9197,26.5752,6.426e-20,7.211e-20,6.820e-20,0.0,-164.89,0
BackS004180,-2.9186,26.5523,4.747e-20,5.287e-20,4.816e-20,0.0,-163.89,0
BackS004183,-2.9140,26.5773,2.126e-20,2.678e-20,3.155e-20,0.0,-165.41,0
BackS004185,-2.9078,26.4725,4.652e-19,4.516e-19,3.093e-19,-0.0,-162.23,0
BackS004186,-2.9046,26.5427,1.799e-19,1.801e-19,1.308e-19,-0.001,-162.89,0
BackS004190,-2.9091,26.5536,2.832e-20,3.537e-20,3.961e-20,-0.0,-164.72,0
BackS004197,-2.9176,26.6034,8.300e-19,1.227e-18,2.009e-18,0.001,-165.86,0
BackS004199,-2.9209,26.5503,3.771e-20,4.195e-20,3.792e-20,0.0,-163.6,0
BackS004203,-2.9162,26.4972,4.328e-19,4.285e-19,2.964e-19,-0.0,-161.93,0
BackS004204,-2.9116,26.5566,1.653e-18,2.867e-18,6.419e-18,0.0,-164.57,0
BackS004206,-2.9188,26.5845,6.075e-20,6.725e-20,5.952e-20,0.0,-165.33,0
BackS004210,-2.8992,26.5242,3.276e-19,3.320e-19,2.362e-19,0.001,-161.67,0
BackS004212,-2.9048,26.5474,2.532e-20,3.106e-20,3.434e-20,0.0,-164.21,0
BackS004217,-2.9029,26.5084,2.237e-18,3.841e-18,8.297e-18,0.001,-161.31,0
BackS004221,-2.9045,26.5294,2.223e-18,1.827e-18,8.929e-19,0.0,-161.81,0
BackS004222,-2.9056,26.5303,8.577e-19,1.251e-18,1.970e-18,0.0,-163.04,0
BackS004230,-2.9062,26.5487,6.176e-17,2.037e-16,1.692e-15,-0.0,-163.89,0
BackS004232,-2.8958,26.5206,5.904e-20,6.793e-20,6.517e-20,0.0,-161.47,0
BackS004233,-2.9224,26.5591,1.578e-19,1.672e-19,1.372e-19,-0.0,-164.14,0
BackS004237,-2.9301,26.6803,6.930e-19,1.190e-18,2.577e-18,0.001,-166.14,0
BackS004242,-2.9040,26.5560,9.202e-19,1.305e-18,1.903e-18,-0.001,-164.52,0
BackS004251,-2.9136,26.5416,7.172e-19,6.444e-19,3.783e-19,-0.001,-162.07,0
BackS004255,-2.9357,26.6932,1.319e-20,1.694e-20,2.046e-20,0.0,-166.23,0
BackS004259,-2.9055,26.4692,9.255e-19,8.397e-19,4.890e-19,-0.0,-161.4,0
BackS004260,-2.9003,26.5416,7.429e-20,8.669e-20,8.692e-20,-0.0,-163.19,0
BackS004261,-2.9004,26.5070,1.676e-20,2.105e-20,2.458e-20,-0.0,-161.32,0
BackS004264,-2.9108,26.5753,2.304e-18,3.455e-18,5.728e-18,-0.001,-164.56,0
BackS004265,-2.9103,26.6155,1.626e-20,2.048e-20,2.391e-20,-0.0,-165.68,0
BackS004269,-2.8921,26.5029,9.048e-20,9.719e-20,8.092e-20,-0.0,-160.98,0
BackS004271,-2.9036,26.5424,8.684e-19,1.603e-18,4.169e-18,-0.0,-161.65,0
BackS004276,-2.9022,26.5456,1.214e-20,1.577e-20,1.873e-20,-0.001,-163.46,0
BackS004277,-2.9091,26.5019,3.293e-19,3.164e-19,2.152e-19,-0.001,-162.57,0
BackS004281,-2.9078,26.5591,6.687e-19,6.325e-19,4.085e-19,0.001,-164.85,0
BackS004282,-2.9096,26.5648,3.039e-20,3.694e-20,3.988e-20,0.001,-165.31,0
BackS004287,-2.8999,26.5424,4.758e-19,4.335e-19,2.642e-19,0.001,-161.75,0
BackS004288,-2.9250,26.6372,1.352e-20,1.657e-20,1.890e-20,0.0,-165.96,0
BackS004291,-2.8990,26.5118,7.573e-20,7.783e-20,6.071e-20,-0.0,-161.82,0
BackS004292,-2.9098,26.5422,1.782e-19,1.882e-19,1.472e-19,-0.0,-163.06,0
BackS004298,-2.8903,26.4802,2.849e-19,2.743e-19,1.804e-19,-0.001,-160.84,0
BackS004306,-2.9263,26.5740,2.236e-19,2.236e-19,1.616e-19,-0.0,-165.33,0
BackS004310,-2.9017,26.5335,3.718e-20,4.261e-20,4.007e-20,0.0,-162.94,0
BackS004317,-2.8973,26.4862,2.847e-20,3.312e-20,3.301e-20,0.0,-160.87,0
BackS004318,-2.9052,26.5393,2.056e-18,3.954e-18,1.145e-17,0.0,-161.85,0
BackS004324,-2.9080,26.5644,3.064e-19,3.087e-19,2.257e-19,0.0,-165.1,0
BackS004325,-2.9099,26.5279,1.860e-19,1.987e-19,1.589e-19,0.0,-161.49,0
BackS004329,-2.9060,26.4785,2.317e-19,2.316e-19,1.733e-19,-0.0,-161.82,0
BackS004340,-2.8825,26.4837,2.220e-20,2.785e-20,3.274e-20,-0.001,-162.15,0
BackS004341,-2.9178,26.5428,2.797e-18,2.294e-18,1.097e-18,0.0,-163.46,0
BackS004343,-2.9048,26.5588,8.325e-19,1.511e-18,3.728e-18,0.0,-165.23,0
BackS004344,-2.9050,26.5505,3.586e-14,2.440e-14,8.290e-15,0.0,-164.22,0
BackS004346,-2.8958,26.5166,1.915e-18,2.718e-18,4.113e-18,0.001,-161.31,0
BackS004359,-2.9032,26.5446,7.861e-20,8.405e-20,7.133e-20,-0.001,-164.0,0
BackS004361,-2.9080,26.5345,1.828e-20,2.201e-20,2.315e-20,-0.0,-161.75,0
BackS004364,-2.8989,26.5256,9.426e-19,1.820e-18,5.319e-18,-0.001,-161.36,0
BackS004365,-2.8981,26.5279,9.806e-20,1.049e-19,8.546e-20,-0.002,-161.47,0
BackS004374,-2.9163,26.5512,3.384e-14,2.408e-14,8.572e-15,0.0,-163.74,0
BackS004376,-2.8833,26.4352,2.241e-18,1.839e-18,8.766e-19,0.0,-160.75,0
BackS004382,-2.9047,26.5624,2.833e-20,3.424e-20,3.550e-20,-0.0,-164.39,0
BackS004387,-2.8870,26.4690,7.112e-19,1.232e-18,2.702e-18,-0.0,-161.35,0
BackS004394,-2.9068,26.5439,1.122e-18,2.165e-18,6.160e-18,-0.0,-163.52,0
BackS004397,-2.8966,26.5328,3.282e-19,4.933e-19,8.246e-19,0.0,-162.0,0
BackS004401,-2.8946,26.5751,4.300e-19,6.832e-19,1.252e-18,0.0,-163.95,0
BackS004404,-2.9071,26.5302,1.117e-18,1.994e-18,4.678e-18,0.001,-162.35,0
BackS004405,-2.9065,26.5414,1.532e-19,1.536e-19,1.112e-19,-0.0,-163.1,0
BackS004417,-2.9336,26.6513,4.317e-20,5.025e-20,5.123e-20,0.0,-165.39,0
BackS004419,-2.9085,26.5682,1.508e-19,1.692e-19,1.529e-19,0.0,-165.27,0
BackS004426,-2.9168,26.6070,2.714e-20,3.286e-20,3.471e-20,-0.0,-165.95,0
BackS004429,-2.9070,26.5434,1.326e-19,1.445e-19,1.226e-19,-0.001,-163.32,0
BackS004430,-2.9001,26.5263,6.655e-20,7.653e-20,7.107e-20,-0.0,-162.5,0
BackS004432,-2.8973,26.5398,4.555e-14,3.697e-14,1.778e-14,0.001,-162.49,1
BackS004433,-2.9049,26.5365,5.983e-14,4.358e-14,1.597e-14,0.0,-162.42,0
BackS004434,-2.9179,26.6133,1.001e-19,1.088e-19,9.649e-20,0.0,-165.98,0
BackS004438,-2.9525,26.9026,8.133e-20,9.156e-20,8.361e-20,-0.0,-166.06,0
BackS004444,-2.8959,26.4927,2.959e-18,4.842e-18,1.000e-17,-0.0,-160.85,0
BackS004450,-2.9016,26.5295,2.774e-19,2.778e-19,1.991e-19,-0.0,-161.9,0
BackS004461,-2.9057,26.5447,5.907e-20,6.727e-20,6.497e-20,0.0,-166.52,0
BackS004462,-2.9310,26.5808,4.273e-20,5.044e-20,4.980e-20,-0.0,-164.27,0
BackS004465,-2.9037,26.5463,1.444e-19,1.492e-19,1.217e-19,-0.001,-163.92,0
BackS004466,-2.9076,26.5492,1.773e-18,1.567e-18,8.770e-19,0.001,-164.13,0
BackS004469,-2.8999,26.4822,5.371e-19,4.887e-19,2.902e-19,0.0,-160.83,0
BackS004471,-2.9074,26.6009,9.949e-19,1.802e-18,4.383e-18,0.0,-165.6,0
BackS004472,-2.9072,26.5492,4.917e-19,9.134e-19,2.313e-18,-0.0,-163.98,0
BackS004475,-2.9126,26.5536,8.345e-20,8.980e-20,7.604e-20,-0.0,-164.46,0
BackS004476,-2.9045,26.5949,1.004e-19,1.118e-19,9.961e-20,0.0,-165.27,0
BackS004478,-2.9036,26.5414,2.305e-20,2.792e-20,2.859e-20,0.0,-161.47,0
BackS004481,-2.9201,26.6063,1.695e-18,3.553e-18,1.189e-17,0.0,-165.75,0
BackS004484,-2.9094,26.5539,8.621e-19,1.462e-18,3.128e-18,0.001,-164.26,0
BackS004492,-2.9080,26.5702,1.622e-19,1.728e-19,1.418e-19,0.0,-165.42,0
BackS004498,-2.8961,26.5418,1.344e-20,1.646e-20,1.842e-20,0.001,-163.29,0
BackS004499,-2.9513,26.6879,4.499e-20,5.239e-20,5.068e-20,-0.0,-165.67,0
BackS004504,-2.9023,26.5418,3.631e-20,4.220e-20,4.071e-20,-0.0,-161.56,0
BackS004505,-2.9151,26.5789,1.663e-18,2.696e-18,5.363e-18,-0.001,-165.63,0
BackS004508,-2.9055,26.5424,3.610e-19,3.485e-19,2.396e-19,0.0,-163.02,0
BackS004509,-2.8948,26.5819,1.010e-18,8.870e-19,5.048e-19,0.0,-164.23,0
BackS004511,-2.9065,26.5660,2.332e-20,2.841e-20,3.123e-20,0.0,-165.29,0
BackS004518,-2.9001,26.5310,6.640e-20,7.323e-20,6.748e-20,0.0,-161.67,0
BackS004519,-2.9132,26.5475,5.469e-20,5.632e-20,4.372e-20,0.0,-163.95,0
BackS004521,-2.9197,26.6162,2.833e-20,3.435e-20,3.820e-20,-0.001,-165.76,0
BackS004524,-2.9022,26.5499,3.747e-19,3.506e-19,2.175e-19,-0.001,-163.85,0
BackS004526,-2.9077,26.5682,7.150e-19,6.263e-19,3.516e-19,0.0,-165.19,0
BackS004527,-2.9141,26.5435,2.527e-18,5.772e-18,2.389e-17,0.001,-164.55,0
BackS004529,-2.9087,26.5547,2.952e-19,3.182e-19,2.610e-19,0.0,-164.81,0
BackS004531,-2.9010,26.5456,5.666e-20,6.256e-20,5.438e-20,-0.0,-163.74,0
BackS004533,-2.9037,26.5766,1.470e-20,1.948e-20,2.517e-20,0.0,-165.49,0
BackS004535,-2.8857,26.5609,1.669e-18,2.804e-18,5.890e-18,0.0,-163.64,0
BackS004538,-2.8833,26.5376,8.617e-20,9.613e-20,8.466e-20,0.0,-163.23,0
BackS004539,-2.9090,26.5214,7.415e-19,6.550e-19,3.812e-19,-0.0,-162.35,0
BackS004543,-2.9141,26.5647,1.479e-18,1.228e-18,5.998e-19,-0.0,-164.67,0
BackS004547,-2.9025,26.5177,8.602e-20,9.457e-20,7.931e-20,0.001,-161.55,0
BackS004551,-2.9073,26.5580,1.304e-14,9.024e-15,3.016e-15,0.0,-164.82,0
BackS004553,-2.9245,26.5663,1.474e-18,2.489e-18,5.143e-18,-0.0,-164.12,0
BackS004554,-2.8926,26.5256,1.128e-20,1.469e-20,1.907e-20,-0.0,-162.52,0
BackS004562,-2.9204,26.5735,4.992e-19,4.698e-19,3.028e-19,-0.0,-164.81,0
BackS004563,-2.9074,26.5749,1.373e-19,1.424e-19,1.133e-19,0.001,-164.69,0
BackS004564,-2.8952,26.5393,2.942e-20,3.599e-20,3.901e-20,0.0,-163.14,0
BackS004568,-2.9236,26.5198,4.864e-14,3.433e-14,1.225e-14,-0.001,-163.15,0
BackS004573,-2.9288,26.6467,3.520e-19,5.841e-19,1.232e-18,0.0,-165.96,0
BackS004575,-2.8887,26.5124,2.020e-18,3.612e-18,8.509e-18,-0.0,-161.72,0
BackS004580,-2.9038,26.5729,1.848e-20,2.335e-20,2.765e-20,0.001,-164.84,0
BackS004582,-2.9050,26.5267,7.887e-20,8.832e-20,7.967e-20,0.0,-161.62,0
BackS004586,-2.9009,26.5417,1.081e-20,1.403e-20,1.762e-20,0.001,-162.46,0
BackS004587,-2.8913,26.3817,1.301e-19,1.406e-19,1.244e-19,0.0,-161.26,0
BackS004588,-2.9035,26.5367,3.589e-19,3.398e-19,2.155e-19,0.001,-162.81,0
BackS004593,-2.9000,26.5104,1.261e-18,2.213e-18,5.057e-18,0.0,-161.51,0
BackS004595,-2.9052,26.5314,3.976e-19,3.743e-19,2.350e-19,-0.0,-162.82,0
BackS004608,-2.9037,26.5344,9.646e-19,1.897e-18,5.308e-18,0.001,-161.67,0
BackS004615,-2.8911,26.4456,2.192e-18,1.749e-18,8.316e-19,0.0,-160.72,0
BackS004626,-2.9262,26.6733,6.170e-19,5.579e-19,3.256e-19,0.0,-166.11,0
BackS004627,-2.8834,26.5124,9.191e-19,1.708e-18,4.340e-18,0.0,-162.66,0
BackS004628,-2.9116,26.5410,7.719e-19,7.357e-19,4.862e-19,-0.0,-162.98,0
BackS004633,-2.8810,26.5217,2.197e-19,2.401e-19,2.016e-19,-0.0,-162.94,0
BackS004643,-2.9025,26.5431,1.299e-19,1.334e-19,1.030e-19,-0.0,-162.98,0
BackS004646,-2.9096,26.5434,2.069e-20,2.617e-20,3.122e-20,-0.001,-165.06,0
BackS004647,-2.9063,26.5438,2.469e-20,2.920e-20,3.047e-20,0.0,-161.08,0
BackS004651,-2.9090,26.5322,1.622e-19,1.723e-19,1.426e-19,-0.0,-162.45,0
BackS004657,-2.9059,26.5272,4.619e-20,5.135e-20,4.495e-20,-0.001,-161.71,0
BackS004660,-2.8895,26.4910,1.768e-18,3.285e-18,8.187e-18,0.001,-160.82,0
BackS004663,-2.9184,26.5680,1.172e-20,1.563e-20,1.947e-20,0.0,-164.87,0
BackS004666,-2.9028,26.5394,1.676e-19,1.794e-19,1.525e-19,-0.001,-162.32,0
BackS004668,-2.8821,26.4476,1.596e-18,1.448e-18,8.371e-19,0.0,-160.79,0
BackS004672,-2.9106,26.5949,5.935e-14,4.731e-14,2.095e-14,-0.001,-165.1,1
BackS004677,-2.9006,26.5269,4.081e-18,6.380e-18,1.124e-17,-0.0,-161.59,0
BackS004678,-2.9408,26.6331,2.354e-19,2.332e-19,1.710e-19,-0.0,-165.43,0
BackS004684,-2.9210,26.5891,1.953e-18,3.380e-18,7.617e-18,-0.0,-165.67,0
BackS004685,-2.9251,26.5728,4.987e-19,8.479e-19,1.811e-18,-0.0,-164.69,0
BackS004686,-2.8892,26.4523,1.130e-20,1.479e-20,1.823e-20,-0.0,-160.99,0
BackS004690,-2.9036,26.5502,2.000e-20,2.506e-20,2.866e-20,-0.001,-165.01,0
BackS004691,-2.9019,26.5281,3.480e-20,3.885e-20,3.626e-20,-0.001,-162.34,0
BackS004693,-2.8904,26.5100,3.569e-20,4.019e-20,3.626e-20,-0.0,-161.4,0
BackS004700,-2.9090,26.5484,4.960e-14,3.589e-14,1.374e-14,0.001,-163.7,0
BackS004701,-2.8957,26.4891,9.727e-20,1.028e-19,8.283e-20,-0.0,-160.92,0
BackS004702,-2.9072,26.5206,2.225e-20,2.595e-20,2.679e-20,0.0,-162.03,0
BackS004706,-2.9089,26.5289,5.801e-20,6.466e-20,5.690e-20,-0.0,-161.88,0
BackS004709,-2.9022,26.5406,2.028e-19,1.956e-19,1.351e-19,0.0,-162.71,0
BackS004711,-2.8967,26.6132,4.232e-14,3.721e-14,2.099e-14,0.0,-164.38,1
BackS004718,-2.8800,26.4351,2.607e-19,2.647e-19,1.999e-19,0.0,-160.61,0
BackS004724,-2.9060,26.5263,5.542e-18,4.549e-18,2.180e-18,-0.0,-162.44,0
BackS004727,-2.9137,26.5627,6.045e-14,4.608e-14,1.914e-14,0.0,-165.12,1
BackS004729,-2.9018,26.5447,9.398e-19,8.130e-19,4.385e-19,-0.0,-163.19,0
