Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BottomDG0007,8.9218,-42.4768,1.199e-17,1.031e-17,4.702e-18,39.1659,-1665.17
BottomDG0008,8.7741,-42.4457,1.165e-17,9.230e-18,3.838e-18,47.9628,-1663.52
BottomDG0009,8.8507,-42.4537,1.696e-17,1.348e-17,5.188e-18,55.467,-1665.01
BottomDG0010,8.8570,-42.5326,1.174e-17,1.118e-17,5.213e-18,53.6386,-1664.53
BottomDG0169,26.7129,27.2753,5.486e-17,4.627e-17,1.883e-17,102.6078,-634.41
BottomDG0170,26.9966,27.4379,5.328e-17,4.592e-17,2.046e-17,106.3548,-635.49
BottomDG0171,27.1287,27.6042,5.781e-17,4.550e-17,2.171e-17,129.2584,-633.98
BottomDG0172,26.8148,27.2861,5.743e-17,4.651e-17,2.024e-17,125.6592,-635.51
BottomDG0207,-0.7628,-5.7806,2.889e-17,2.213e-17,8.074e-18,96.6815,-1743.08
BottomDG0208,-0.8471,-5.5210,1.120e-17,8.499e-18,3.926e-18,58.3439,-1743.66
BottomDG0209,-0.9321,-5.6514,1.485e-17,1.294e-17,5.152e-18,44.6202,-1744.08
BottomDG0210,-0.8821,-5.9130,1.048e-17,7.624e-18,3.656e-18,43.5068,-1742.91
BottomDG0211,-0.6865,-5.8565,7.291e-18,5.937e-18,2.875e-18,69.4357,-1742.86
BottomDG0212,-0.7121,-5.7123,1.144e-17,9.502e-18,4.299e-18,47.5691,-1742.9
BottomDG0213,-0.7550,-5.7283,1.068e-17,8.554e-18,3.977e-18,37.501,-1743.91
BottomDG0214,-0.7184,-5.5549,1.056e-17,8.881e-18,3.938e-18,51.8887,-1744.08
BottomDG0215,-1.0020,-5.7252,9.916e-18,7.848e-18,3.912e-18,40.4374,-1742.85
BottomDG0216,-0.9697,-5.7266,1.599e-17,1.310e-17,4.938e-18,49.6669,-1742.96
BottomDG0217,-0.5922,-5.8023,6.863e-18,5.606e-18,2.674e-18,72.6963,-1743.8
BottomDG0218,-0.8739,-5.8697,1.045e-17,9.010e-18,3.880e-18,55.8966,-1743.02
BottomDG0219,-0.6922,-5.6038,1.028e-17,8.934e-18,3.847e-18,55.1085,-1743.18
BottomDG0220,-0.7346,-5.7531,6.577e-18,5.029e-18,2.557e-18,57.6267,-1741.69
BottomDG0221,-0.9297,-5.7892,1.005e-17,7.745e-18,4.018e-18,43.9628,-1741.73
BottomDG0222,-0.7513,-5.8704,8.582e-18,6.950e-18,3.208e-18,78.1177,-1742.45
BottomDG0223,-1.6068,-17.2864,2.691e-17,2.031e-17,7.134e-18,116.8357,-1802.82
BottomDG0224,-1.4645,-17.2845,1.066e-17,8.728e-18,4.383e-18,46.6136,-1803.65
BottomDG0225,-1.4768,-17.2172,1.001e-17,7.809e-18,3.743e-18,41.9627,-1805.03
BottomDG0226,-1.5806,-17.2694,1.004e-17,8.594e-18,3.762e-18,48.2746,-1805.12
BottomDG0227,-1.7233,-17.2472,1.084e-17,9.123e-18,3.945e-18,51.658,-1803.05
BottomDG0228,-1.6843,-17.2262,1.017e-17,7.964e-18,4.041e-18,41.9982,-1802.22
BottomDG0229,-1.5431,-17.2353,6.617e-18,5.238e-18,2.242e-18,92.0007,-1804.92
BottomDG0230,-1.6828,-17.1962,9.154e-18,8.062e-18,3.470e-18,45.2321,-1805.64
BottomDG0231,-1.6671,-17.4448,9.489e-18,8.732e-18,3.760e-18,42.3453,-1804.36
BottomDG0232,-1.8149,-17.2365,9.178e-18,7.972e-18,3.857e-18,41.977,-1804.19
BottomDG0233,-1.5915,-17.1735,1.006e-17,8.221e-18,3.856e-18,44.6006,-1805.66
BottomDG0234,-1.5586,-17.4480,1.004e-17,8.033e-18,4.166e-18,51.4878,-1804.31
BottomDG0235,-1.5076,-17.1668,9.075e-18,7.777e-18,3.701e-18,38.7017,-1802.99
BottomDG0378,2.0942,-40.3832,2.422e-17,1.890e-17,7.563e-18,106.4282,-932.13
BottomDG0379,2.0467,-40.5880,3.754e-17,2.895e-17,1.296e-17,95.7143,-932.08
BottomDG0380,-14.3058,-27.6694,1.314e-17,1.072e-17,4.584e-18,57.5021,-1372.74
BottomDG0462,-21.6681,5.7635,4.266e-17,2.836e-17,1.057e-17,150.4011,-1496.83
BottomDG0463,-21.6559,5.9253,1.009e-17,8.671e-18,4.013e-18,105.7441,-1500.42
BottomDG0464,-21.9288,6.0534,1.367e-17,1.085e-17,5.053e-18,52.7704,-1499.87
BottomDG0465,-21.8247,5.7930,1.527e-17,1.179e-17,4.920e-18,62.4589,-1499.33
BottomDG0466,-21.9111,5.8056,1.430e-17,1.184e-17,5.162e-18,54.3025,-1498.87
BottomDG0467,-21.7803,5.6157,1.618e-17,1.258e-17,6.199e-18,61.3906,-1497.19
BottomDG0468,-21.8527,5.4330,1.323e-17,1.207e-17,6.035e-18,61.5361,-1499.35
BottomDG0469,-21.4131,5.7325,9.615e-18,7.929e-18,3.800e-18,79.1947,-1498.25
BottomDG0470,-21.3826,5.6499,1.575e-17,1.302e-17,5.473e-18,55.6797,-1499.99
BottomDG0471,-21.9911,6.0062,1.628e-17,1.249e-17,5.725e-18,58.425,-1499.07
BottomDG0472,-21.4724,5.5631,1.318e-17,1.116e-17,4.857e-18,57.6907,-1498.47
BottomDG0473,-21.9611,5.5969,8.907e-18,7.924e-18,3.340e-18,56.1599,-1497.0
BottomDG0474,-21.5624,5.4838,1.283e-17,1.068e-17,4.715e-18,49.4963,-1498.46
BottomDG0475,-21.8419,5.9495,1.330e-17,1.051e-17,4.750e-18,50.9115,-1496.53
BottomDG0476,-21.5369,5.8358,1.007e-17,8.287e-18,3.965e-18,93.683,-1494.67
BottomDG0477,-21.7571,5.7225,1.476e-17,1.259e-17,5.219e-18,58.8912,-1498.39
BottomDG0478,-21.8343,5.5678,1.565e-17,1.264e-17,5.287e-18,54.1224,-1495.18
BottomDG0479,-21.8874,6.0129,1.343e-17,1.071e-17,5.531e-18,41.2045,-1497.55
BottomDG0500,13.3687,-21.0685,2.054e-17,1.479e-17,6.719e-18,157.1619,-974.7
BottomDG0501,13.5098,-20.9445,2.617e-17,2.100e-17,9.016e-18,65.8519,-974.83
BottomDG0502,13.2429,-20.9789,2.674e-17,2.156e-17,1.006e-17,80.7888,-974.66
BottomDG0503,13.2775,-20.9299,2.665e-17,2.229e-17,9.956e-18,75.4252,-974.38
BottomDG0504,13.2472,-20.9858,2.585e-17,2.228e-17,9.804e-18,76.0909,-974.46
BottomDG0505,13.3496,-21.1133,2.544e-17,2.037e-17,9.955e-18,76.9676,-973.77
BottomDG0506,13.5220,-21.1517,2.821e-17,2.392e-17,1.131e-17,74.5847,-973.67
BottomDG0507,13.4900,-20.9806,2.894e-17,2.153e-17,1.105e-17,90.0168,-972.8
BottomDG0605,3.5592,21.2395,8.755e-18,7.834e-18,3.788e-18,61.1179,-1595.81
BottomDG0606,-20.6653,20.8182,1.244e-17,9.492e-18,4.207e-18,47.4727,-1592.45
