Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS000001,22.1095,-27.7184,1.091e-14,1.474e-14,1.954e-14,-0.001,-109.59,0
BottomS000002,22.0623,-27.6396,2.777e-18,4.331e-18,7.492e-18,0.001,-108.69,0
BottomS000003,22.0076,-27.5930,9.620e-19,9.028e-19,5.710e-19,-0.0,-105.77,0
BottomS000005,22.0326,-27.6164,6.503e-14,5.114e-14,2.340e-14,-0.0,-106.1,1
BottomS000006,22.0081,-27.5983,3.193e-19,3.194e-19,2.286e-19,-0.001,-107.1,0
BottomS000008,22.0384,-27.6403,5.755e-15,3.717e-15,1.162e-15,0.0,-107.6,0
BottomS000012,21.9449,-27.5235,7.606e-19,1.415e-18,3.633e-18,-0.0,-105.49,0
BottomS000013,22.0498,-27.6487,1.048e-18,1.986e-18,5.195e-18,-0.001,-109.36,0
BottomS000024,22.0444,-27.6423,3.044e-19,2.863e-19,1.905e-19,0.0,-109.35,0
BottomS000026,22.0001,-27.5914,2.231e-19,2.244e-19,1.585e-19,0.0,-105.54,0
BottomS000027,22.0614,-27.6551,3.246e-20,3.964e-20,4.175e-20,0.001,-108.73,0
BottomS000029,22.0770,-27.6720,9.349e-19,1.478e-18,2.758e-18,0.0,-109.84,0
BottomS000031,22.0586,-27.6533,2.980e-20,3.635e-20,4.024e-20,0.0,-109.5,0
BottomS000037,22.0330,-27.6279,2.057e-20,2.557e-20,2.973e-20,0.0,-106.12,0
BottomS000040,22.0478,-27.6315,9.791e-20,1.051e-19,8.990e-20,-0.0,-107.66,0
BottomS000047,22.0131,-27.6051,1.956e-20,2.604e-20,3.480e-20,0.0,-107.26,0
BottomS000048,22.0337,-27.6289,3.383e-19,3.202e-19,2.141e-19,-0.0,-107.03,0
BottomS000052,22.0106,-27.5976,1.078e-20,1.425e-20,1.753e-20,0.001,-106.14,0
BottomS000053,22.0007,-27.5968,1.433e-19,1.544e-19,1.251e-19,0.0,-105.59,0
BottomS000056,22.0323,-27.6201,5.825e-19,5.566e-19,3.833e-19,0.0,-107.46,0
BottomS000057,22.0418,-27.6375,2.146e-18,4.217e-18,1.222e-17,-0.0,-107.69,0
BottomS000058,22.0365,-27.6319,3.557e-20,4.490e-20,5.273e-20,-0.0,-107.61,0
BottomS000066,22.0513,-27.6355,2.082e-20,2.747e-20,3.500e-20,-0.0,-107.97,0
BottomS000067,22.0427,-27.6383,4.883e-19,4.647e-19,2.963e-19,0.0,-107.46,0
BottomS000072,22.0524,-27.6367,3.341e-20,4.144e-20,4.717e-20,-0.001,-108.57,0
BottomS000084,22.1370,-27.7319,1.634e-19,1.757e-19,1.448e-19,0.0,-109.87,0
BottomS000087,22.0599,-27.6513,1.950e-20,2.492e-20,2.902e-20,0.0,-108.78,0
BottomS000089,22.0299,-27.6225,2.417e-20,2.996e-20,3.454e-20,-0.0,-106.16,0
BottomS000092,21.9874,-27.5722,1.392e-20,2.042e-20,3.223e-20,0.0,-105.92,0
BottomS000093,21.8958,-27.4678,5.210e-20,5.725e-20,5.088e-20,0.0,-106.39,0
BottomS000096,22.0483,-27.6371,8.763e-14,7.086e-14,3.397e-14,0.0,-107.98,1
BottomS000098,22.0480,-27.6333,5.322e-20,6.377e-20,6.916e-20,0.0,-105.84,0
BottomS000099,22.0436,-27.6236,1.766e-19,1.894e-19,1.582e-19,0.001,-106.58,0
BottomS000107,22.0664,-27.6602,2.681e-20,3.209e-20,3.404e-20,-0.0,-109.13,0
BottomS000109,22.0630,-27.6581,4.843e-14,3.455e-14,1.322e-14,0.001,-109.35,0
BottomS000110,22.0610,-27.6554,1.332e-18,2.856e-18,1.008e-17,-0.0,-109.34,0
BottomS000112,22.0024,-27.5775,1.425e-20,1.858e-20,2.402e-20,0.001,-105.99,0
BottomS000115,22.0443,-27.6380,2.242e-18,4.110e-18,1.024e-17,0.0,-107.68,0
BottomS000116,22.0267,-27.6099,1.766e-20,2.239e-20,2.677e-20,0.0,-106.39,0
BottomS000120,22.0397,-27.6356,1.990e-18,3.126e-18,5.574e-18,-0.001,-105.97,0
BottomS000122,22.0807,-27.6714,2.813e-20,3.510e-20,4.003e-20,-0.001,-109.67,0
BottomS000128,22.0383,-27.6142,2.008e-19,2.157e-19,1.825e-19,0.0,-106.19,0
BottomS000130,22.0593,-27.6445,2.480e-20,3.066e-20,3.521e-20,0.001,-108.36,0
BottomS000131,22.0441,-27.6366,5.425e-18,4.312e-18,1.889e-18,-0.0,-107.4,0
BottomS000139,22.0483,-27.6284,1.895e-19,1.955e-19,1.488e-19,-0.0,-106.43,0
BottomS000140,22.0592,-27.6525,2.671e-19,2.831e-19,2.250e-19,0.0,-108.88,0
BottomS000143,22.0529,-27.6549,1.801e-18,3.433e-18,9.821e-18,0.0,-108.87,0
BottomS000146,22.0234,-27.5986,2.196e-20,2.712e-20,3.143e-20,-0.0,-107.25,0
BottomS000147,22.0736,-27.6698,1.393e-14,9.183e-15,2.980e-15,-0.0,-109.65,0
BottomS000149,22.0473,-27.6406,1.691e-20,2.173e-20,2.545e-20,-0.0,-108.6,0
BottomS000152,22.0609,-27.6499,1.772e-19,1.787e-19,1.312e-19,0.001,-107.96,0
BottomS000157,21.9996,-27.5885,3.400e-20,4.073e-20,4.174e-20,-0.001,-105.68,0
BottomS000159,21.9923,-27.5782,6.074e-20,7.157e-20,7.149e-20,0.0,-105.59,0
BottomS000165,22.0527,-27.6330,1.173e-13,9.568e-14,4.418e-14,-0.0,-108.39,1
BottomS000167,22.0491,-27.6363,2.220e-20,2.902e-20,3.593e-20,-0.0,-110.04,0
BottomS000170,22.2077,-27.8175,6.164e-19,6.103e-19,4.221e-19,0.0,-110.3,0
BottomS000171,22.0507,-27.6437,1.630e-19,1.784e-19,1.606e-19,0.001,-108.4,0
