Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0001,-31.3081,38.1543,1.490e-17,1.263e-17,5.948e-18,111.4998,-1213.59
FrontDG0002,-31.2977,38.0447,2.321e-17,1.820e-17,8.535e-18,86.6184,-1214.27
FrontDG0003,-31.3758,38.0284,2.161e-17,1.795e-17,9.124e-18,67.9738,-1212.72
FrontDG0004,-31.3086,38.1634,1.557e-17,1.270e-17,6.178e-18,89.6418,-1212.58
FrontDG0005,-31.1392,37.8968,2.036e-17,1.606e-17,7.644e-18,65.4858,-1213.21
FrontDG0064,32.2669,18.9913,4.496e-17,3.837e-17,1.062e-17,110.2286,-1322.56
FrontDG0065,31.8579,18.7987,1.601e-17,1.337e-17,5.863e-18,54.0876,-1321.22
FrontDG0066,32.1076,18.6869,1.761e-17,1.528e-17,6.555e-18,62.7077,-1323.78
FrontDG0067,31.9417,19.1719,1.571e-17,1.408e-17,6.465e-18,61.819,-1324.97
FrontDG0068,31.8537,18.8905,1.820e-17,1.353e-17,6.382e-18,55.7141,-1320.94
FrontDG0069,32.3653,18.9484,1.773e-17,1.453e-17,7.039e-18,60.2998,-1319.78
FrontDG0070,31.6968,18.8090,2.516e-17,1.894e-17,7.635e-18,51.1517,-1324.47
FrontDG0071,31.9586,18.9980,1.516e-17,1.271e-17,5.673e-18,54.7819,-1324.2
FrontDG0072,32.5783,18.7660,1.760e-17,1.406e-17,7.177e-18,59.9661,-1322.05
FrontDG0073,32.1705,18.8179,1.592e-17,1.417e-17,6.002e-18,57.3957,-1323.12
FrontDG0074,31.9706,19.1970,1.747e-17,1.352e-17,6.094e-18,69.1267,-1322.57
FrontDG0075,32.0790,18.9115,1.840e-17,1.392e-17,7.038e-18,65.4429,-1321.22
FrontDG0076,31.9602,18.9390,1.580e-17,1.254e-17,6.191e-18,55.7052,-1323.01
FrontDG0077,32.5012,18.8168,1.692e-17,1.389e-17,6.162e-18,62.3532,-1320.1
FrontDG0078,32.3180,18.8977,1.599e-17,1.389e-17,6.022e-18,54.1921,-1321.26
FrontDG0079,32.0417,18.9847,1.810e-17,1.356e-17,7.021e-18,60.1078,-1318.69
FrontDG0080,32.4644,19.2402,1.149e-17,8.699e-18,4.601e-18,89.3262,-1324.38
FrontDG0096,-31.6381,-23.2156,3.303e-17,2.453e-17,9.993e-18,133.3473,-1614.81
FrontDG0097,-31.8333,-23.1904,8.747e-18,8.147e-18,3.662e-18,76.577,-1610.84
FrontDG0098,-31.7540,-23.3401,1.749e-17,1.297e-17,5.828e-18,47.0281,-1613.79
FrontDG0099,-31.6229,-23.0395,1.336e-17,1.045e-17,4.083e-18,41.4762,-1614.39
FrontDG0100,-31.8382,-23.3329,1.136e-17,9.411e-18,4.123e-18,46.2607,-1611.2
FrontDG0101,-31.2948,-23.0818,1.467e-17,1.011e-17,5.256e-18,57.999,-1610.28
FrontDG0102,-31.6213,-23.3698,7.897e-18,6.659e-18,3.047e-18,102.646,-1609.99
FrontDG0103,-31.4412,-23.3574,1.259e-17,1.068e-17,4.924e-18,61.2214,-1609.99
