Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS010614,-26.5164,-4.4701,1.696e-20,2.232e-20,2.870e-20,0.0,-151.07,0
FrontS010615,-26.5036,-4.4433,4.893e-18,1.168e-17,5.265e-17,-0.001,-153.04,0
FrontS010617,-26.4899,-4.4747,1.801e-18,1.563e-18,8.395e-19,0.0,-151.75,0
FrontS010618,-26.4883,-4.4790,6.938e-20,7.736e-20,6.884e-20,0.0,-149.57,0
FrontS010623,-26.4881,-4.4934,4.064e-20,4.951e-20,5.319e-20,0.0,-149.5,0
FrontS010625,-26.4979,-4.5306,7.207e-19,1.325e-18,3.435e-18,-0.0,-148.57,0
FrontS010629,-26.4750,-4.5280,1.121e-20,1.472e-20,1.858e-20,0.0,-150.02,0
FrontS010633,-26.4935,-4.4741,5.231e-14,4.667e-14,2.642e-14,0.0,-152.2,1
FrontS010635,-26.4894,-4.4772,1.325e-18,1.178e-18,6.642e-19,0.0,-152.38,0
FrontS010645,-26.4743,-4.4379,2.053e-20,2.724e-20,3.433e-20,0.0,-152.52,0
FrontS010647,-26.4882,-4.5004,2.028e-18,1.734e-18,9.069e-19,0.001,-148.98,0
FrontS010654,-26.4793,-4.4835,2.842e-14,1.979e-14,6.851e-15,0.0,-150.1,0
FrontS010655,-26.5094,-4.4623,3.187e-18,7.194e-18,2.808e-17,0.001,-151.24,0
FrontS010656,-26.4823,-4.4364,7.567e-14,5.408e-14,1.979e-14,-0.0,-153.04,0
FrontS010660,-26.4948,-4.4739,1.425e-20,1.905e-20,2.503e-20,-0.001,-151.09,0
FrontS010663,-26.4828,-4.4740,1.009e-19,1.133e-19,1.061e-19,-0.001,-151.82,0
FrontS010664,-26.4858,-4.4633,1.697e-19,1.897e-19,1.689e-19,-0.0,-152.4,0
FrontS010666,-26.4927,-4.4219,8.984e-20,1.016e-19,9.411e-20,-0.001,-153.06,0
FrontS010668,-26.4852,-4.4809,1.130e-20,1.562e-20,2.235e-20,0.0,-150.3,0
FrontS010669,-26.4928,-4.4443,1.311e-14,9.450e-15,3.653e-15,0.0,-152.91,0
FrontS010671,-26.4800,-4.5436,2.910e-20,3.606e-20,3.936e-20,0.0,-149.11,0
FrontS010674,-26.4792,-4.4786,1.910e-18,1.697e-18,1.014e-18,0.0,-151.6,1
FrontS010678,-26.4975,-4.5093,1.573e-20,2.052e-20,2.652e-20,-0.0,-148.77,0
FrontS010681,-26.4954,-4.5218,2.883e-19,2.995e-19,2.397e-19,-0.0,-148.61,0
FrontS010686,-26.5268,-4.5803,7.331e-20,8.494e-20,8.069e-20,0.001,-148.99,0
FrontS010688,-26.4910,-4.4692,4.926e-14,3.446e-14,1.199e-14,-0.001,-151.87,0
FrontS010693,-26.4880,-4.4747,2.157e-14,1.472e-14,4.891e-15,-0.0,-151.55,0
FrontS010696,-26.4830,-4.4788,1.385e-18,2.161e-18,3.883e-18,0.0,-150.79,0
FrontS010698,-26.4922,-4.4785,3.477e-20,4.282e-20,4.866e-20,0.0,-152.77,0
FrontS010701,-26.4975,-4.5191,6.207e-19,5.890e-19,3.691e-19,-0.0,-148.86,0
FrontS010703,-26.4728,-4.5084,2.526e-20,3.138e-20,3.606e-20,0.001,-150.02,0
FrontS010704,-26.4897,-4.4726,6.810e-19,6.840e-19,4.927e-19,-0.0,-151.63,0
FrontS010708,-26.4961,-4.4733,1.320e-20,1.893e-20,2.736e-20,-0.0,-152.23,0
FrontS010714,-26.4670,-4.4984,1.856e-20,2.385e-20,2.793e-20,0.001,-150.52,0
FrontS010717,-26.4697,-4.4425,1.970e-19,1.987e-19,1.459e-19,-0.0,-152.59,0
FrontS010722,-26.4897,-4.4679,3.753e-20,4.496e-20,4.607e-20,-0.0,-152.18,0
FrontS010724,-26.5023,-4.4825,6.709e-20,7.906e-20,7.897e-20,-0.0,-150.65,0
FrontS010727,-26.4939,-4.3910,5.245e-18,7.441e-18,1.063e-17,-0.0,-152.9,0
FrontS010728,-26.5008,-4.5298,7.528e-19,6.921e-19,4.312e-19,-0.001,-148.83,0
FrontS010729,-26.4952,-4.4775,1.686e-19,1.733e-19,1.345e-19,0.001,-151.22,0
FrontS010732,-26.5189,-4.4491,5.126e-19,4.888e-19,3.206e-19,-0.0,-151.48,0
FrontS010733,-26.4830,-4.4936,7.017e-20,7.896e-20,6.983e-20,0.001,-149.98,0
FrontS010734,-26.4953,-4.5002,3.277e-18,2.674e-18,1.270e-18,0.001,-148.96,0
FrontS010735,-26.4963,-4.5609,1.286e-18,1.180e-18,7.190e-19,-0.001,-148.61,0
FrontS010736,-26.5167,-4.5028,5.405e-19,5.333e-19,3.775e-19,-0.0,-150.45,0
FrontS010737,-26.4685,-4.4508,6.899e-14,5.529e-14,2.551e-14,0.0,-151.74,1
FrontS010738,-26.4993,-4.6124,2.562e-19,2.532e-19,1.724e-19,0.0,-148.48,0
FrontS010741,-26.4847,-4.4271,6.576e-20,7.197e-20,6.261e-20,0.0,-153.14,0
FrontS010750,-26.4804,-4.4676,6.049e-19,5.798e-19,3.869e-19,0.0,-151.25,0
FrontS010752,-26.4840,-4.4701,1.228e-18,2.061e-18,4.457e-18,-0.0,-151.32,0
FrontS010754,-26.4956,-4.3871,1.145e-20,1.590e-20,2.229e-20,-0.001,-152.72,0
FrontS010755,-26.4952,-4.4816,1.725e-18,1.551e-18,9.076e-19,-0.0,-149.73,0
FrontS010757,-26.4706,-4.4964,3.556e-18,2.981e-18,1.574e-18,-0.0,-150.47,0
FrontS010764,-26.4834,-4.4981,9.234e-20,1.062e-19,1.019e-19,-0.0,-149.92,0
FrontS010765,-26.4919,-4.4957,2.477e-19,2.624e-19,2.153e-19,0.001,-149.13,0
FrontS010769,-26.5047,-4.4814,1.392e-20,1.928e-20,2.713e-20,0.001,-150.83,0
FrontS010772,-26.4911,-4.4941,2.167e-19,2.319e-19,1.911e-19,0.001,-149.33,0
