Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG0006,-9.4898,20.7649,1.054e-17,8.172e-18,3.676e-18,60.1146,-1537.01
LeftDG0048,1.5774,44.5466,9.641e-18,8.069e-18,3.406e-18,64.8782,-1500.47
LeftDG0092,33.5328,15.8033,1.956e-17,1.769e-17,7.616e-18,91.2003,-975.13
LeftDG0093,1.0582,22.6656,2.468e-17,2.312e-17,9.405e-18,77.1984,-1073.18
LeftDG0094,1.0321,22.5904,2.443e-17,2.067e-17,9.045e-18,74.3585,-1072.87
LeftDG0095,0.9673,22.6114,2.667e-17,2.506e-17,1.136e-17,82.6521,-1073.13
LeftDG0236,9.7128,-8.1693,6.803e-18,5.413e-18,2.359e-18,48.4878,-1860.33
LeftDG0237,-17.9667,-4.0574,8.028e-18,7.301e-18,3.204e-18,102.2171,-1655.55
LeftDG0238,-17.9858,-3.9590,1.632e-17,1.325e-17,5.630e-18,54.8017,-1655.18
LeftDG0239,-17.9647,-4.1228,1.259e-17,9.983e-18,4.126e-18,51.4787,-1655.28
LeftDG0240,-18.0671,-4.0034,1.220e-17,1.069e-17,4.495e-18,52.4616,-1653.24
LeftDG0241,-18.0779,-4.0971,1.194e-17,1.079e-17,4.790e-18,50.6313,-1654.01
LeftDG0242,-18.1231,-4.0619,7.610e-18,6.602e-18,3.162e-18,54.3391,-1654.17
LeftDG0243,-18.0057,-4.1441,1.227e-17,1.092e-17,4.886e-18,47.2676,-1654.77
LeftDG0244,-18.0896,-3.9961,1.257e-17,9.443e-18,4.405e-18,60.8206,-1655.51
LeftDG0260,26.5390,20.3422,9.967e-18,8.739e-18,3.571e-18,113.2888,-1521.72
LeftDG0261,26.4130,20.4513,1.317e-17,1.158e-17,5.293e-18,57.3067,-1519.93
LeftDG0262,26.5186,20.2018,1.406e-17,1.200e-17,5.183e-18,66.7724,-1522.58
LeftDG0263,26.6326,20.5167,1.408e-17,9.887e-18,4.895e-18,48.855,-1521.16
