Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
LeftS142170,-44.8116,-24.5991,1.336e-20,1.792e-20,2.306e-20,0.001,-171.28,0
LeftS142172,-44.9174,-24.3906,7.043e-14,5.872e-14,2.938e-14,0.0,-171.11,1
LeftS142200,-44.5346,-24.4134,8.363e-19,1.516e-18,3.810e-18,0.0,-172.01,0
LeftS142206,-44.9763,-24.8388,1.241e-20,1.590e-20,1.940e-20,0.0,-164.76,0
LeftS142210,-44.9421,-24.4776,8.214e-19,1.849e-18,7.042e-18,-0.0,-173.81,0
LeftS142218,-44.6076,-24.2510,1.355e-19,1.420e-19,1.101e-19,0.001,-165.31,0
LeftS142232,-44.8292,-24.2197,2.285e-18,3.964e-18,8.911e-18,0.0,-171.93,0
LeftS142252,-44.7322,-24.3213,2.999e-18,2.518e-18,1.292e-18,0.0,-173.23,0
LeftS142254,-44.8434,-23.9532,1.580e-18,3.222e-18,1.028e-17,-0.0,-173.38,0
LeftS142260,-44.6991,-24.5663,3.105e-14,3.516e-14,3.172e-14,-0.0,-170.89,0
LeftS142261,-44.8054,-24.1720,1.089e-20,1.402e-20,1.743e-20,-0.0,-173.61,0
LeftS142267,-44.9345,-24.9111,3.713e-18,8.437e-18,3.441e-17,0.001,-166.07,0
LeftS142271,-44.9127,-24.4208,1.797e-14,1.220e-14,4.095e-15,-0.0,-169.11,0
LeftS142277,-44.6452,-24.4581,4.913e-20,5.788e-20,5.621e-20,0.0,-168.57,0
LeftS142288,-44.6611,-24.3972,1.880e-18,4.371e-18,1.802e-17,0.0,-170.88,0
LeftS142293,-44.9492,-24.5989,3.832e-19,3.808e-19,2.714e-19,-0.0,-169.22,0
LeftS142299,-44.8120,-24.5726,1.545e-20,2.071e-20,2.784e-20,0.0,-165.81,0
LeftS142303,-44.5540,-24.3415,2.432e-20,3.127e-20,3.782e-20,0.001,-170.3,0
LeftS142314,-44.9423,-24.3846,1.397e-18,2.428e-18,5.351e-18,-0.001,-169.58,0
LeftS142327,-44.7529,-24.6410,1.235e-20,1.650e-20,2.173e-20,0.0,-174.76,0
LeftS142330,-44.9326,-24.5467,1.174e-19,1.210e-19,9.202e-20,0.0,-172.9,0
LeftS142347,-44.4292,-24.4895,3.038e-20,3.658e-20,3.855e-20,0.0,-174.64,0
LeftS142362,-44.9248,-24.8022,1.772e-20,2.259e-20,2.740e-20,0.001,-174.12,0
LeftS142368,-44.9224,-24.1940,3.087e-20,3.817e-20,4.334e-20,0.0,-170.01,0
LeftS142378,-44.9275,-24.7591,8.957e-15,5.986e-15,1.953e-15,0.0,-174.54,0
LeftS142380,-44.9634,-24.7887,7.532e-19,1.535e-18,4.851e-18,0.0,-169.66,0
LeftS142411,-44.8737,-24.5609,2.335e-18,1.913e-18,9.315e-19,-0.001,-170.06,0
