Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
RightDG0081,-9.3461,-25.2801,9.263e-18,7.178e-18,3.461e-18,61.8798,-1569.02
RightDG0112,-0.9867,17.1431,4.867e-17,3.523e-17,1.303e-17,154.2957,-1388.8
RightDG0113,-1.1166,16.8615,1.820e-17,1.536e-17,6.828e-18,61.7525,-1389.89
RightDG0114,-1.2884,17.1095,1.255e-17,9.709e-18,3.877e-18,73.724,-1391.21
RightDG0115,-1.0108,17.1011,1.221e-17,8.917e-18,4.774e-18,137.7352,-1387.3
RightDG0116,-1.2973,16.9794,1.804e-17,1.394e-17,6.431e-18,55.5599,-1386.69
RightDG0117,-1.2219,17.3914,1.457e-17,1.218e-17,5.730e-18,53.7369,-1389.41
RightDG0118,-0.7625,17.0067,1.762e-17,1.357e-17,5.818e-18,66.2004,-1391.71
RightDG0119,-0.9265,17.1376,1.495e-17,1.360e-17,6.217e-18,57.3242,-1385.69
RightDG0120,-1.0823,17.3052,1.543e-17,1.316e-17,6.144e-18,58.2313,-1393.02
RightDG0121,-0.8448,17.1422,1.591e-17,1.560e-17,6.885e-18,67.9234,-1388.99
RightDG0122,-0.8930,16.9325,1.600e-17,1.398e-17,5.531e-18,51.3368,-1388.94
RightDG0123,-1.1008,16.9364,1.664e-17,1.321e-17,6.031e-18,54.1792,-1386.98
RightDG0124,-0.7398,17.1239,1.721e-17,1.340e-17,6.025e-18,66.4911,-1390.74
RightDG0125,-0.9964,17.4231,1.015e-17,9.772e-18,3.839e-18,72.5445,-1390.21
RightDG0126,-0.7663,17.0183,1.551e-17,1.340e-17,6.544e-18,63.8909,-1386.67
RightDG0127,-1.1903,17.2635,1.878e-17,1.464e-17,5.513e-18,55.3111,-1388.66
RightDG0128,-1.1538,16.9703,1.648e-17,1.421e-17,6.910e-18,58.9407,-1391.81
RightDG0129,-7.3969,0.5923,7.124e-16,5.727e-16,1.737e-16,714.1805,-263.7
RightDG0130,-4.7772,0.9215,2.906e-16,2.362e-16,1.025e-16,303.0176,-266.9
RightDG0131,-9.0596,-0.0765,2.656e-16,2.347e-16,9.625e-17,245.646,-267.16
RightDG0132,-7.2816,-1.2620,2.802e-16,2.380e-16,9.577e-17,318.6618,-271.01
RightDG0133,-8.3330,0.4478,2.096e-16,1.715e-16,8.395e-17,271.322,-261.57
RightDG0134,-7.5725,1.9683,3.823e-16,3.301e-16,1.371e-16,256.1713,-269.61
RightDG0135,-7.3109,-0.9304,3.165e-16,2.310e-16,1.099e-16,289.6663,-261.7
RightDG0136,-6.5650,1.5986,3.815e-16,2.551e-16,1.110e-16,291.1002,-269.04
RightDG0137,-6.7090,-0.5491,2.957e-16,2.524e-16,1.044e-16,329.0574,-263.01
RightDG0138,-7.5924,-0.6282,2.217e-16,1.751e-16,7.314e-17,423.6203,-264.1
RightDG0139,-7.0178,1.9106,2.448e-16,2.144e-16,9.296e-17,258.0612,-266.52
RightDG0140,-6.5747,0.5508,2.563e-16,1.760e-16,9.470e-17,256.5679,-268.33
RightDG0141,-7.6944,1.1004,1.824e-16,1.629e-16,6.568e-17,501.0383,-269.92
RightDG0142,-6.6248,-0.6937,3.098e-16,2.361e-16,1.167e-16,317.469,-268.46
