Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS015613,22.6661,-8.1955,1.054e-19,1.224e-19,1.160e-19,0.0,-35.29,0
RightS015614,22.6218,-8.1760,1.010e-20,1.333e-20,1.751e-20,0.0,-35.91,0
RightS015624,22.6541,-8.1898,3.307e-20,3.961e-20,4.060e-20,-0.0,-35.22,0
RightS015626,22.6246,-8.1738,5.911e-20,6.966e-20,6.958e-20,0.0,-35.61,0
RightS015633,22.6340,-8.1986,1.598e-19,1.812e-19,1.687e-19,-0.0,-36.07,0
RightS015634,22.6440,-8.1448,2.403e-20,3.065e-20,3.505e-20,-0.001,-35.7,0
RightS015635,22.6373,-8.2145,8.098e-19,8.038e-19,5.675e-19,-0.001,-36.25,0
RightS015637,22.5808,-8.1726,2.488e-19,2.492e-19,1.810e-19,-0.0,-38.13,0
RightS015641,22.5391,-8.1932,3.912e-20,4.886e-20,5.473e-20,-0.0,-38.44,0
RightS015649,22.6599,-8.1843,8.752e-20,9.773e-20,8.685e-20,-0.0,-34.86,0
RightS015652,22.6166,-8.1895,1.296e-18,1.145e-18,6.238e-19,0.0,-36.74,0
RightS015657,22.6344,-8.1421,6.552e-20,7.717e-20,7.713e-20,-0.0,-35.85,0
RightS015660,22.6312,-8.1777,5.805e-20,6.354e-20,5.528e-20,0.001,-35.23,0
RightS015668,22.6001,-8.1767,6.426e-14,5.561e-14,2.922e-14,-0.0,-37.76,1
RightS015670,22.5322,-8.1655,1.786e-19,1.809e-19,1.350e-19,0.0,-38.11,0
RightS015675,22.7698,-8.0853,4.198e-20,4.985e-20,5.054e-20,-0.001,-35.14,0
RightS015679,22.6179,-8.1763,7.332e-19,1.230e-18,2.667e-18,-0.0,-36.07,0
RightS015681,22.6184,-8.1854,3.152e-18,7.199e-18,2.851e-17,-0.0,-36.54,0
RightS015684,22.7276,-8.1407,1.402e-19,1.504e-19,1.232e-19,-0.001,-34.94,0
RightS015686,22.6567,-8.1834,1.182e-19,1.308e-19,1.161e-19,0.001,-35.06,0
RightS015687,22.6006,-8.1931,1.821e-20,2.338e-20,2.824e-20,0.0,-37.76,0
RightS015691,22.6147,-8.1781,1.282e-18,1.163e-18,6.775e-19,-0.0,-36.99,0
RightS015692,22.6566,-8.1734,1.025e-19,1.197e-19,1.200e-19,0.0,-34.95,0
RightS015693,22.6086,-8.1788,2.319e-20,2.912e-20,3.401e-20,0.001,-37.51,0
RightS015697,22.6133,-8.1795,3.928e-20,4.435e-20,4.087e-20,-0.001,-37.36,0
RightS015702,22.5945,-8.1828,9.961e-20,1.126e-19,1.001e-19,-0.0,-37.99,0
RightS015703,22.6523,-8.1318,3.250e-17,2.414e-17,9.529e-18,-0.001,-35.65,0
RightS015708,22.6173,-8.1785,2.379e-20,3.034e-20,3.545e-20,0.0,-35.73,0
RightS015713,22.5873,-8.1575,9.248e-19,8.748e-19,5.649e-19,-0.001,-37.49,0
RightS015714,22.6101,-8.1720,4.202e-20,5.107e-20,5.514e-20,0.001,-36.94,0
RightS015718,22.6620,-8.2107,3.024e-18,4.595e-18,8.046e-18,0.0,-35.64,0
RightS015723,22.6200,-8.1800,1.833e-20,2.404e-20,2.953e-20,-0.0,-35.82,0
RightS015725,22.6634,-8.2381,1.338e-18,2.970e-18,1.126e-17,-0.001,-36.07,0
RightS015726,22.5582,-8.1712,2.513e-18,2.081e-18,1.056e-18,0.0,-38.02,0
RightS015728,22.6138,-8.1934,1.404e-18,1.288e-18,7.759e-19,0.001,-37.08,0
RightS015730,22.6375,-8.1578,2.404e-20,3.056e-20,3.480e-20,-0.001,-35.47,0
RightS015731,22.5723,-8.1575,1.694e-20,2.202e-20,2.782e-20,0.0,-37.69,0
RightS015735,22.6380,-8.1969,1.139e-20,1.575e-20,2.202e-20,0.001,-35.66,0
RightS015738,22.6054,-8.2106,1.939e-18,4.383e-18,1.766e-17,0.0,-37.02,0
RightS015743,22.6173,-8.1824,4.775e-18,7.302e-18,1.288e-17,-0.0,-37.18,0
RightS015746,22.5473,-8.1383,2.777e-20,3.503e-20,3.963e-20,0.001,-37.69,0
RightS015751,22.6160,-8.1768,2.263e-18,3.925e-18,8.968e-18,0.001,-37.27,0
RightS015752,22.5691,-8.1940,1.562e-19,1.750e-19,1.578e-19,-0.0,-38.23,0
RightS015755,22.6162,-8.1747,2.873e-20,3.720e-20,4.551e-20,0.0,-36.49,0
RightS015756,22.5952,-8.2267,4.229e-19,4.261e-19,3.115e-19,0.0,-37.42,0
RightS015757,22.5752,-8.1724,2.572e-19,2.747e-19,2.197e-19,0.0,-38.14,0
RightS015758,22.6192,-8.1679,4.299e-18,1.026e-17,4.452e-17,0.0,-36.12,0
RightS015759,22.5695,-8.1588,5.811e-19,5.690e-19,3.918e-19,0.0,-37.72,0
RightS015760,22.6225,-8.1832,4.472e-20,5.425e-20,5.989e-20,0.0,-35.35,0
RightS015763,22.6659,-8.1731,1.999e-18,4.272e-18,1.472e-17,0.0,-34.9,0
RightS015765,22.4332,-8.1447,6.097e-20,7.016e-20,6.805e-20,0.0,-38.18,0
RightS015768,22.5996,-8.1847,1.403e-18,1.205e-18,6.482e-19,0.0,-37.87,0
RightS015778,22.6732,-8.1054,3.911e-20,4.742e-20,5.057e-20,0.0,-35.56,0
RightS015785,22.5518,-8.2095,5.747e-19,1.039e-18,2.549e-18,-0.0,-38.05,0
RightS015787,22.6208,-8.1855,2.561e-18,2.242e-18,1.246e-18,-0.001,-35.37,0
RightS015789,22.5434,-8.2008,3.171e-19,3.118e-19,2.205e-19,-0.001,-38.39,0
RightS015792,22.6443,-8.1257,2.276e-18,3.323e-18,5.210e-18,0.0,-35.82,0
RightS015796,22.6115,-8.1795,5.451e-20,6.536e-20,6.997e-20,0.0,-37.59,0
RightS015799,22.7404,-8.1573,9.794e-20,1.091e-19,9.826e-20,0.0,-34.72,0
RightS015802,22.6323,-8.1752,2.419e-19,2.441e-19,1.741e-19,-0.0,-35.15,0
RightS015812,22.6303,-8.1819,3.220e-18,2.755e-18,1.499e-18,0.0,-35.23,0
RightS015815,22.7986,-8.2134,1.434e-19,1.574e-19,1.397e-19,0.0,-35.02,0
