Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
TopDG0049,13.3719,24.8047,9.529e-17,7.066e-17,2.158e-17,234.1481,-875.5
TopDG0050,13.0465,24.9415,3.315e-17,2.759e-17,1.229e-17,84.6927,-875.48
TopDG0051,12.9941,24.4532,3.389e-17,2.831e-17,1.084e-17,84.9329,-878.91
TopDG0052,13.4708,24.6481,2.803e-17,2.333e-17,1.030e-17,145.3056,-874.96
TopDG0053,13.7957,24.7737,3.284e-17,2.631e-17,1.221e-17,73.0758,-877.1
TopDG0054,12.9702,24.6284,2.441e-17,2.028e-17,9.254e-18,80.0883,-876.33
TopDG0055,13.3889,25.0449,3.500e-17,2.951e-17,1.381e-17,120.9189,-877.19
TopDG0056,13.5218,24.7138,3.316e-17,2.696e-17,1.259e-17,73.0595,-877.14
TopDG0057,13.6911,24.9169,3.978e-17,3.289e-17,1.448e-17,95.7987,-875.68
TopDG0058,13.0166,24.5256,3.457e-17,2.841e-17,1.280e-17,102.5614,-875.62
TopDG0059,13.4037,25.1551,2.362e-17,1.831e-17,8.321e-18,135.5016,-878.06
TopDG0060,13.0135,24.5489,3.554e-17,3.203e-17,1.363e-17,75.5538,-878.7
TopDG0061,13.4927,24.9863,2.280e-17,1.931e-17,8.737e-18,186.1154,-875.7
TopDG0062,13.4167,24.5056,4.793e-17,4.192e-17,1.455e-17,94.1045,-875.94
TopDG0063,13.2666,24.6954,3.166e-17,2.815e-17,1.301e-17,89.7792,-875.03
TopDG0158,42.7272,-28.6293,1.659e-17,1.262e-17,5.799e-18,53.6244,-1358.15
TopDG0159,42.7723,-28.5474,1.701e-17,1.419e-17,6.927e-18,65.5666,-1357.98
TopDG0160,42.7418,-28.5644,1.635e-17,1.352e-17,5.731e-18,74.2277,-1358.33
TopDG0161,42.6244,-28.6155,1.436e-17,1.288e-17,6.105e-18,70.1241,-1357.41
TopDG0164,29.8806,-9.6053,6.751e-18,6.401e-18,2.610e-18,68.5559,-1790.05
TopDG0165,29.9250,-9.5872,1.056e-17,8.384e-18,4.133e-18,47.419,-1789.43
TopDG0166,29.9315,-9.6907,1.082e-17,9.084e-18,4.298e-18,52.7576,-1789.66
TopDG0167,29.9448,-9.5994,1.015e-17,8.752e-18,3.777e-18,42.5627,-1789.11
TopDG0168,29.9575,-9.5689,8.587e-18,7.895e-18,3.852e-18,42.4418,-1789.34
TopDG0181,-19.3157,-11.0108,6.455e-17,4.779e-17,1.482e-17,127.9764,-1103.91
TopDG0182,-19.3940,-11.4158,2.456e-17,1.899e-17,8.063e-18,67.7664,-1107.15
TopDG0183,-18.9277,-11.0558,1.521e-17,1.239e-17,6.286e-18,67.2815,-1104.37
TopDG0184,-19.2881,-11.2162,1.556e-17,1.360e-17,5.565e-18,127.8248,-1106.99
TopDG0185,-19.8975,-11.1402,2.515e-17,2.176e-17,9.351e-18,67.931,-1107.56
TopDG0186,-19.0744,-10.8826,1.737e-17,1.495e-17,6.791e-18,117.2475,-1105.21
TopDG0187,-18.9703,-11.2079,2.088e-17,2.046e-17,8.963e-18,87.4365,-1103.52
TopDG0188,-19.6783,-10.7128,2.413e-17,2.068e-17,8.906e-18,73.2794,-1106.56
TopDG0189,-19.4415,-10.4967,2.256e-17,2.165e-17,9.111e-18,78.5394,-1106.29
TopDG0190,-19.5856,-11.0481,2.485e-17,2.141e-17,9.659e-18,76.0206,-1106.35
TopDG0191,-18.8792,-10.7638,2.381e-17,1.719e-17,8.180e-18,69.1608,-1107.47
TopDG0192,-19.7175,-10.8485,2.335e-17,1.729e-17,9.054e-18,85.3534,-1104.49
TopDG0193,-18.8481,-10.8801,1.514e-17,1.106e-17,5.379e-18,93.963,-1105.23
TopDG0194,-19.6096,-11.2722,2.271e-17,1.985e-17,8.828e-18,85.878,-1105.76
TopDG0195,-18.9164,-11.3495,2.493e-17,2.103e-17,9.561e-18,65.3198,-1104.15
TopDG0196,-19.2037,-11.0084,1.802e-17,1.441e-17,6.501e-18,112.7275,-1106.96
TopDG0197,-18.8715,-11.2661,1.651e-17,1.309e-17,5.568e-18,67.5777,-1105.03
TopDG0198,-18.9028,-10.9948,3.182e-17,2.373e-17,1.009e-17,68.1441,-1105.86
TopDG0199,-19.1061,-10.9508,1.535e-17,1.276e-17,6.408e-18,108.6771,-1105.02
TopDG0200,-18.9024,-11.3284,1.624e-17,1.393e-17,6.279e-18,63.0715,-1103.59
TopDG0201,-19.4423,-10.6137,2.534e-17,1.972e-17,9.077e-18,68.3525,-1104.51
TopDG0202,-19.0200,-11.1124,1.550e-17,1.269e-17,5.167e-18,84.3648,-1103.95
TopDG0353,40.9764,-6.1977,6.173e-17,4.247e-17,1.354e-17,145.3563,-1199.57
TopDG0354,41.1180,-6.2003,2.012e-17,1.530e-17,7.991e-18,64.9978,-1197.92
TopDG0355,40.9214,-6.2807,3.018e-17,2.290e-17,9.517e-18,68.8313,-1196.99
TopDG0356,40.9770,-6.4633,2.067e-17,1.683e-17,6.492e-18,59.3714,-1196.28
TopDG0357,40.8453,-6.4108,2.312e-17,2.073e-17,8.767e-18,70.1008,-1197.4
TopDG0358,41.3762,-6.1309,2.424e-17,1.806e-17,7.687e-18,66.9679,-1196.97
TopDG0359,40.8284,-6.5121,2.154e-17,1.806e-17,8.093e-18,84.867,-1198.91
TopDG0360,40.9122,-6.0656,2.232e-17,1.736e-17,7.874e-18,75.4923,-1196.85
TopDG0361,41.1117,-6.2958,2.948e-17,2.337e-17,9.933e-18,76.4398,-1196.0
TopDG0362,41.1694,-6.0628,2.117e-17,1.789e-17,7.740e-18,60.7926,-1196.58
TopDG0420,-33.5851,-13.0435,3.603e-17,3.144e-17,1.328e-17,128.0812,-770.77
TopDG0421,-14.9444,-39.7262,2.208e-17,1.660e-17,7.870e-18,85.9227,-985.1
TopDG0461,0.0510,-4.9519,5.755e-18,5.210e-18,2.726e-18,46.1085,-1920.86
TopDG0514,40.6101,31.0498,1.016e-17,8.120e-18,3.354e-18,56.8228,-1502.2
TopDG0568,-11.0275,-2.5822,3.233e-16,2.282e-16,7.686e-17,351.0317,-476.23
TopDG0569,-10.7887,-2.4064,1.011e-16,8.934e-17,4.462e-17,148.325,-476.13
