Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS014473,-39.5119,38.2452,3.446e-18,6.869e-18,2.016e-17,0.001,-127.32,0
TopS014478,-39.4131,38.2345,2.576e-19,2.557e-19,1.825e-19,-0.0,-127.32,0
TopS014479,-39.3861,38.2838,1.697e-19,1.677e-19,1.142e-19,-0.0,-127.96,0
TopS014482,-39.3776,38.2941,4.361e-20,4.773e-20,4.152e-20,-0.0,-130.33,0
TopS014483,-39.3810,38.2790,2.038e-14,1.399e-14,4.976e-15,0.001,-128.77,0
TopS014484,-39.4105,38.2261,1.517e-19,1.692e-19,1.532e-19,-0.0,-127.51,0
TopS014494,-39.4465,38.2573,1.119e-18,9.903e-19,5.648e-19,0.0,-127.15,0
TopS014496,-39.4003,38.2854,3.112e-18,6.291e-18,1.960e-17,-0.0,-127.33,0
TopS014500,-39.3982,38.3054,2.956e-20,3.469e-20,3.327e-20,0.0,-129.65,0
TopS014503,-39.3805,38.2893,6.415e-17,2.116e-16,1.757e-15,-0.0,-129.41,0
TopS014505,-39.3881,38.2987,6.130e-20,7.053e-20,6.767e-20,-0.001,-130.36,0
TopS014506,-39.3906,38.2722,3.100e-18,7.386e-18,3.365e-17,-0.0,-127.8,0
TopS014510,-39.3834,38.2925,4.372e-19,7.018e-19,1.309e-18,-0.001,-130.53,0
TopS014511,-39.3891,38.3251,2.500e-20,3.232e-20,3.970e-20,-0.0,-130.21,0
TopS014513,-39.4592,38.2825,9.751e-19,1.740e-18,4.210e-18,0.0,-127.84,0
TopS014516,-39.3900,38.2907,1.263e-20,1.650e-20,2.028e-20,0.001,-127.55,0
TopS014522,-39.3815,38.3017,1.306e-20,1.723e-20,2.288e-20,0.0,-130.52,0
TopS014525,-39.3968,38.2746,7.592e-19,6.946e-19,4.289e-19,-0.0,-127.6,0
TopS014526,-39.4051,38.2898,1.052e-19,1.128e-19,9.244e-20,-0.001,-128.06,0
TopS014528,-39.3188,38.2557,1.339e-19,1.385e-19,1.120e-19,-0.0,-129.32,0
TopS014541,-39.3881,38.2658,4.389e-14,3.193e-14,1.217e-14,0.0,-128.22,0
TopS014542,-39.3987,38.2785,8.086e-14,6.673e-14,3.242e-14,0.001,-127.68,1
TopS014547,-39.3837,38.3042,1.378e-20,1.807e-20,2.220e-20,-0.002,-130.33,0
TopS014551,-39.3969,38.2951,2.278e-18,1.945e-18,1.056e-18,0.0,-128.27,0
TopS014552,-39.4242,38.4092,1.106e-18,9.119e-19,4.461e-19,-0.0,-129.78,0
TopS014553,-39.3916,38.2957,1.034e-18,1.644e-18,3.035e-18,0.0,-129.84,0
TopS014554,-39.3875,38.3113,1.804e-20,2.294e-20,2.612e-20,-0.0,-130.76,0
TopS014555,-39.3929,38.2964,1.271e-20,1.652e-20,2.087e-20,0.0,-130.03,0
TopS014559,-39.4246,38.2806,3.863e-19,3.499e-19,2.143e-19,0.0,-127.83,0
TopS014570,-39.3514,38.2798,2.086e-20,2.631e-20,2.976e-20,0.001,-129.62,0
TopS014580,-39.4802,38.1678,1.115e-18,1.849e-18,3.780e-18,-0.001,-126.77,0
TopS014581,-39.3947,38.2969,1.242e-18,2.198e-18,5.208e-18,-0.0,-129.39,0
TopS014582,-39.3898,38.2914,1.633e-19,1.778e-19,1.506e-19,0.001,-129.97,0
TopS014583,-39.3433,38.3065,5.771e-19,5.416e-19,3.460e-19,0.0,-130.51,0
TopS014584,-39.3870,38.2912,6.415e-19,6.069e-19,3.872e-19,-0.0,-129.32,0
TopS014590,-39.3855,38.2931,1.380e-18,2.522e-18,6.272e-18,0.0,-129.65,0
TopS014592,-39.4478,38.2719,1.053e-18,9.040e-19,4.862e-19,0.001,-127.51,0
TopS014593,-39.3918,38.2890,4.086e-18,9.756e-18,4.367e-17,-0.0,-127.71,0
TopS014594,-39.3635,38.2807,6.564e-20,7.080e-20,6.070e-20,0.0,-129.4,0
TopS014603,-39.3958,38.2900,1.186e-19,1.270e-19,1.083e-19,-0.0,-127.83,0
